Names in FOnlineServer
Address   Section   Type        Name                                     Comments
00400000            Analyser    <STRUCT IMAGE_DOS_HEADER>
00400100            Analyser    <STRUCT IMAGE_NT_SIGNATURE>
00400104            Analyser    <STRUCT IMAGE_FILE_HEADER>
00400118            Analyser    <STRUCT IMAGE_OPTIONAL_HEADER>
00400178            Analyser    <STRUCT IMAGE_DATA_DIRECTORY>
004001F8            Analyser    <STRUCT IMAGE_SECTION_HEADER>
00400220            Analyser    <STRUCT IMAGE_SECTION_HEADER>
00400248            Analyser    <STRUCT IMAGE_SECTION_HEADER>
00400270            Analyser    <STRUCT IMAGE_SECTION_HEADER>
00400298            Analyser    <STRUCT IMAGE_SECTION_HEADER>
004002C0            Analyser    <STRUCT IMAGE_SECTION_HEADER>
00401000  .text     Debug data  _adler32
00401310  .text     Debug data  _adler32_combine
00401330  .text     Debug data  _adler32_combine64
00401350  .text     Debug data  _compress2
004013F0  .text     Debug data  _compress
00401410  .text     Debug data  _compressBound
00401430  .text     Debug data  _get_crc_table
00401B50  .text     Debug data  _crc32_combine
00401B70  .text     Debug data  _crc32_combine64
00401B90  .text     Debug data  _crc32
00401BB0  .text     Debug data  _deflateSetDictionary
00401CB0  .text     Debug data  _deflateSetHeader
00401CE0  .text     Debug data  _deflatePrime
00401D20  .text     Debug data  _deflateTune
00401D60  .text     Debug data  _deflateBound
00401EC0  .text     Debug data  _deflateEnd
00401FA0  .text     Debug data  _deflateCopy
00403080  .text     Debug data  _deflateReset
00403120  .text     Debug data  _deflate
00403970  .text     Debug data  _deflateInit2_
00403BB0  .text     Debug data  _deflateParams
00403CB0  .text     Debug data  _deflateInit_
00403CE0  .text     Debug data  _gzclose
00403D10  .text     Debug data  _gzbuffer
00403D50  .text     Debug data  _gztell64
00403D90  .text     Debug data  _gztell
00403DA0  .text     Debug data  _gzoffset64
00403DF0  .text     Debug data  _gzoffset
00403E00  .text     Debug data  _gzeof
00403E40  .text     Debug data  _gzerror
00403E80  .text     Debug data  _gz_error
004041D0  .text     Debug data  _gzopen
004041F0  .text     Debug data  _gzopen64
00404210  .text     Debug data  _gzdopen
00404260  .text     Debug data  _gzrewind
004042A0  .text     Debug data  _gzseek64
004043C0  .text     Debug data  _gzseek
004043D0  .text     Debug data  _gzclearerr
00404C60  .text     Debug data  _gzread
00404DB0  .text     Debug data  _gzgetc
00404E10  .text     Debug data  _gzungetc
00404EE0  .text     Debug data  _gzgets
00404FE0  .text     Debug data  _gzdirect
00405010  .text     Debug data  _gzclose_r
004052C0  .text     Debug data  _gzwrite
004053C0  .text     Debug data  _gzputc
00405450  .text     Debug data  _gzputs
00405490  .text     Debug data  _gzprintf
00405550  .text     Debug data  _gzflush
004055C0  .text     Debug data  _gzsetparams
00405660  .text     Debug data  _gzclose_w
004056F0  .text     Debug data  _inflateBackInit_
004057D0  .text     Debug data  _inflateBack
00406580  .text     Debug data  _inflateBackEnd
004065C0  .text     Debug data  _inflate_fast
004069D0  .text     Debug data  _inflateReset
00406A50  .text     Debug data  _inflateReset2
00406AE0  .text     Debug data  _inflateInit2_
00406BA0  .text     Debug data  _inflateInit_
00406BC0  .text     Debug data  _inflatePrime
00406D40  .text     Debug data  _inflate
004082A0  .text     Debug data  _inflateEnd
004082F0  .text     Debug data  _inflateSetDictionary
004083D0  .text     Debug data  _inflateGetHeader
00408460  .text     Debug data  _inflateSync
00408540  .text     Debug data  _inflateSyncPoint
00408570  .text     Debug data  _inflateCopy
004086C0  .text     Debug data  _inflateUndermine
004086F0  .text     Debug data  _inflateMark
00408750  .text     Debug data  _inflate_table
00408BD0  .text     Debug data  _call_zopen64
00408C10  .text     Debug data  _call_zseek64
00408C70  .text     Debug data  _call_ztell64
00408CB0  .text     Debug data  _fill_zlib_filefunc64_32_def_from_filefu>
00408F00  .text     Debug data  _fill_fopen_filefunc
00408F40  .text     Debug data  _fill_fopen64_filefunc
00409BA0  .text     Debug data  __tr_tally
0040A250  .text     Debug data  __tr_init
0040A610  .text     Debug data  __tr_stored_block
0040A6C0  .text     Debug data  __tr_align
0040A8C0  .text     Debug data  __tr_flush_block
0040AAC0  .text     Debug data  _uncompress
0040AE30  .text     Debug data  _unzStringFileNameCompare
0040B2A0  .text     Debug data  _unzGetGlobalInfo64
0040B2D0  .text     Debug data  _unzGetGlobalInfo
0040B830  .text     Debug data  _unzGetCurrentFileInfo64
0040B860  .text     Debug data  _unzGetCurrentFileInfo
0040B920  .text     Debug data  _unzGoToFirstFile
0040B990  .text     Debug data  _unzGoToNextFile
0040BA40  .text     Debug data  _unzLocateFile
0040BBD0  .text     Debug data  _unzGetFilePos64
0040BC20  .text     Debug data  _unzGetFilePos
0040BC50  .text     Debug data  _unzGoToFilePos64
0040BCC0  .text     Debug data  _unzGoToFilePos
0040BF30  .text     Debug data  _unzGetCurrentFileZStreamPos64
0040BF60  .text     Debug data  _unzReadCurrentFile
0040C1F0  .text     Debug data  _unztell
0040C210  .text     Debug data  _unztell64
0040C240  .text     Debug data  _unzeof
0040C280  .text     Debug data  _unzGetLocalExtrafield
0040C340  .text     Debug data  _unzCloseCurrentFile
0040C3E0  .text     Debug data  _unzGetGlobalComment
0040C470  .text     Debug data  _unzGetOffset64
0040C4C0  .text     Debug data  _unzGetOffset
0040C4E0  .text     Debug data  _unzSetOffset64
0040C550  .text     Debug data  _unzSetOffset
0040CA50  .text     Debug data  _unzOpen2
0040CA90  .text     Debug data  _unzOpen2_64
0040CAE0  .text     Debug data  _unzOpen
0040CB00  .text     Debug data  _unzOpen64
0040CB20  .text     Debug data  _unzClose
0040CB60  .text     Debug data  _unzOpenCurrentFile3
0040CD90  .text     Debug data  _unzOpenCurrentFile
0040CDB0  .text     Debug data  _unzOpenCurrentFilePassword
0040CDD0  .text     Debug data  _unzOpenCurrentFile2
0040CDF0  .text     Debug data  _zlibVersion
0040CE00  .text     Debug data  _zlibCompileFlags
0040CE10  .text     Debug data  _zError
0040CE30  .text     Debug data  _zcalloc
0040CE50  .text     Debug data  _zcfree
0040CE70  .text     Debug data  ??0NpcBagItem@@QAE@XZ
0040CE80  .text     Debug data  ??0NpcBagItem@@QAE@ABV0@@Z
0040CEB0  .text     Debug data  ?__copy_trivial@priv@stlp_std@@YAPAXPBX0>
0040CEE0  .text     Debug data  ??2@YAPAXIPAX@Z
0040CEF0  .text     Debug data  ?__stl_new@stlp_std@@YAPAXI@Z
0040CF00  .text     Debug data  ?__stl_delete@stlp_std@@YAXPAX@Z
0040CF10  .text     Debug data  ?__ucopy_trivial@priv@stlp_std@@YAPAXPBX>
0040CF40  .text     Debug data  ?uninitialized_copy@stlp_std@@YAPADPBD0P>
0040CFB0  .text     Debug data  ??0?$allocator@V?$basic_string@DV?$char_>
0040CFC0  .text     Debug data  ??1?$allocator@V?$basic_string@DV?$char_>
0040CFD0  .text     Debug data  ?size@?$vector@VNpcBagItem@@V?$allocator>
0040CFE0  .text     Debug data  ??0?$allocator@VNpcBagItem@@@stlp_std@@Q>
0040CFF0  .text     Debug data  ??1?$allocator@VNpcBagItem@@@stlp_std@@Q>
0040D000  .text     Debug data  ??0?$allocator@V?$vector@V?$vector@VNpcB>
0040D010  .text     Debug data  ??1?$allocator@V?$vector@V?$vector@VNpcB>
0040D020  .text     Debug data  ?size@?$vector@V?$basic_string@DV?$char_>
0040D070  .text     Debug data  ?size@?$vector@V?$vector@VNpcBagItem@@V?>
0040D090  .text     Debug data  ??0?$allocator@V?$vector@VNpcBagItem@@V?>
0040D0A0  .text     Debug data  ??1?$allocator@V?$vector@VNpcBagItem@@V?>
0040D0B0  .text     Debug data  ??1?$binary_function@V?$basic_string@DV?>
0040D0D0  .text     Debug data  ?allocate@__node_alloc@stlp_std@@SAPAXAA>
0040D110  .text     Debug data  ?deallocate@__node_alloc@stlp_std@@SAXPA>
0040D140  .text     Debug data  ??0_Rb_tree_base_iterator@priv@stlp_std@>
